zip,id
00214,1
00612,1
00662,1
00680,1
00716,1
00718,1
00721,1
00725,1
00729,1
00745,2
00791,3
00792,1
00909,2
00918,5
00919,2
00920,1
00923,1
00926,1
00949,1
00962,1
00966,1
00968,2
00969,2
01001,7
01002,17
01003,17
01005,1
01013,1
01020,5
01027,15
01030,1
01035,11
01040,11
01056,3
01060,29
01062,3
01069,2
01075,6
01085,4
01089,13
01096,2
01103,9
01104,4
01105,4
01106,1
01107,9
01108,2
01109,7
01129,2
01144,1
01199,6
01201,7
01223,2
01225,1
01226,1
01230,6
01236,1
01237,1
01238,7
01240,9
01247,7
01262,3
01267,21
01301,15
01331,3
01339,1
01344,5
01354,1
01360,1
01364,2
01370,2
01373,6
01376,6
01420,3
01430,2
01432,1
01434,1
01436,1
01440,4
01450,6
01451,1
01453,8
01460,5
01462,1
01468,2
01475,3
01501,11
01504,2
01507,9
01515,2
01516,1
01519,1
01523,3
01524,2
01527,7
01532,3
01536,6
01540,1
01541,1
01545,10
01550,1
01562,3
01564,9
01566,4
01569,1
01571,2
01581,6
01590,2
01602,9
01603,4
01604,21
01605,34
01606,20
01607,1
01608,10
01609,5
01610,9
01655,2
01701,10
01702,8
01718,1
01719,1
01720,9
01730,9
01740,2
01741,3
01742,9
01748,2
01749,3
01752,56
01754,9
01757,8
01760,19
01770,1
01772,1
01773,1
01776,3
01778,9
01801,13
01803,37
01810,11
01821,9
01824,9
01830,8
01832,5
01834,1
01840,1
01841,6
01843,19
01844,14
01845,5
01851,1
01852,31
01854,27
01862,2
01863,4
01867,5
01876,10
01879,7
01880,17
01886,14
01887,18
01890,1
01905,3
01906,5
01907,3
01913,16
01915,32
01921,3
01923,14
01929,1
01930,7
01938,3
01940,4
01944,3
01945,6
01950,6
01951,1
01952,1
01960,3
01966,9
01969,4
01970,30
01982,1
01983,3
01984,3
01985,4
02002,1
02019,1
02021,13
02025,8
02026,6
02032,2
02035,5
02038,7
02043,5
02048,2
02050,2
02052,4
02053,7
02056,1
02061,4
02062,21
02066,3
02067,1
02072,12
02081,3
02090,3
02093,5
02108,6
02109,10
02110,35
02111,6
02114,23
02115,16
02116,25
02118,27
02119,6
02120,20
02121,6
02122,2
02125,10
02126,4
02127,3
02128,48
02129,26
02130,7
02131,6
02132,3
02134,5
02135,4
02136,3
02138,3
02139,35
02140,11
02141,52
02142,94
02143,7
02144,2
02145,19
02148,29
02150,2
02151,19
02155,12
02169,12
02171,8
02176,16
02180,9
02184,7
02186,2
02188,7
02189,8
02190,2
02199,4
02210,80
02215,18
02301,8
02302,10
02322,1
02324,11
02332,2
02334,1
02338,1
02339,2
02341,2
02346,13
02347,1
02359,2
02360,18
02364,1
02368,1
02370,4
02375,2
02379,1
02382,1
02420,8
02421,11
02445,2
02446,3
02451,64
02452,2
02453,11
02458,5
02459,14
02460,6
02461,1
02462,1
02464,1
02466,4
02467,3
02472,20
02474,2
02476,6
02478,3
02481,14
02482,1
02492,3
02493,4
02494,4
02532,4
02535,2
02536,1
02538,1
02539,4
02540,5
02543,1
02554,12
02559,3
02562,5
02563,5
02568,2
02571,4
02575,3
02601,32
02630,3
02631,1
02633,2
02639,1
02642,3
02645,7
02649,2
02653,5
02657,7
02663,2
02664,1
02666,1
02667,1
02673,2
02703,7
02715,3
02720,28
02721,2
02726,3
02738,2
02740,4
02743,1
02745,4
02746,4
02747,4
02748,1
02760,12
02761,1
02762,2
02766,4
02767,6
02770,1
02771,3
02777,3
02780,1
02790,2
02804,5
02806,5
02809,3
02813,1
02814,1
02816,2
02817,1
02818,4
02822,1
02830,3
02835,1
02840,15
02842,12
02852,3
02859,2
02860,4
02861,7
02864,8
02865,8
02871,2
02874,1
02878,4
02879,6
02881,5
02882,4
02886,23
02888,19
02891,3
02893,4
02895,7
02896,1
02898,1
02903,24
02904,7
02905,8
02906,6
02907,16
02908,20
02909,9
02910,1
02911,3
02914,11
02915,5
02916,3
02917,3
02919,15
02920,8
02921,2
03053,3
03054,2
03055,1
03060,3
03062,4
03079,13
03101,5
03103,9
03106,3
03110,4
03216,2
03217,1
03221,2
